Sample Number,Group,2-Oxoisocaproate,3-Hydroxybutyrate,3-Methyl-2-oxovalerate,Acetate,Acetone,Alanine,Allantoin,Arginine,Asparagine,Aspartate,Betaine,Carnitine,Choline,Creatine,Creatine phosphate,Creatinine,Cysteine,Dimethyl sulfone,Dimethylamine,Formate,Fructose,Glucose,Glutamate,Glutamine,Glycerol,Glycine,Hippurate,Histidine,Inosine,Isoleucine,Lactate,Leucine,Lysine,Malonate,Methionine,O-Acetylcarnitine,Phenylalanine,Proline,Propionate,Pyruvate,Sarcosine,Serine,Succinate,Threonine,Thymine,Trimethylamine N-oxide,Tryptophan,Tyrosine,Urea,Valine
BHS1660,Early_SM,-0.509073256,-0.344861415,-0.664279907,0.13393449,0.176891645,-0.904704732,0.355560899,-1.296008195,-0.244405391,-0.368589293,0.617109634,0.161927162,0.064018869,0.200723432,0.823935357,-1.070300125,-0.73210872,0.769963497,-0.373790029,-0.059724866,-0.765635612,0.483594616,-0.884667833,-0.742282231,-0.062222192,-0.029197136,2.075184756,-0.575977001,0.160989075,-0.231252096,-0.79337646,-0.003938166,-0.037498078,-0.740323873,0.815478376,0.791493771,0.000901368,-0.689777577,-0.34834884,1.011259224,-0.393026746,-0.467230517,-0.503595811,0.715291995,-0.959111828,0.686811178,-1.347111203,-0.00127782,-0.542130221,-0.678346407
BHS1661,Early_SM,-0.188705618,-0.628307555,0.446048275,-0.267025194,-0.452439489,-1.012642744,-0.071096475,-1.278135195,0.714826946,-0.865545813,0.69191517,0.953926294,-0.317989996,0.509421695,0.305234912,-0.522414483,0.069101572,-0.899665092,-0.923572417,-0.326120023,0.044795822,-0.072170339,-0.197441713,-0.956322041,-3.467919499,0.554907879,-0.645822386,-1.119488588,-0.43665189,0.545465462,0.210869598,-0.44574972,0.394860668,-0.173378228,0.622881422,-0.233527683,-0.30395385,1.140829187,0.273280236,0.303927529,-0.608263505,-0.851432497,0.70292168,1.129142045,-1.505230114,-0.335667795,-0.512561774,0.235014219,-0.680089174,0.239845453
BHS1662,Early_SM,-0.054525181,-1.38393612,-0.169240766,-1.02554772,-0.013302062,-1.32895282,-0.942537067,-1.072664368,-2.298534428,-0.894805243,0.211120826,-0.544850483,0.545790095,-2.561199381,-1.235224853,-0.461314403,-0.030770868,0.527703622,1.342931509,0.402551107,-2.175950641,-0.445454719,-1.203876061,-1.116984628,-1.354967195,0.060884173,-0.400687592,-0.985209852,-1.198778975,0.451095473,-1.847095412,0.364241451,0.890324502,-2.222655178,1.104056764,-1.92811378,1.134172988,-1.062370805,2.969873894,1.121671834,-1.606543521,-0.800610586,-0.186155021,-1.067513435,-0.378818516,0.487134494,0.236306663,0.544640874,-1.387545274,1.662542098
BHS1663,Early_SM,1.055892514,0.038540961,0.943996995,-0.257973823,0.295015453,0.322624287,1.198554042,-0.656178364,0.08365423,-1.242848941,1.062595298,0.868956372,0.429306975,-0.48933385,1.49088786,-1.099012815,-0.454590768,0.373642309,-0.028102354,-0.292241556,0.552910841,1.15183748,-1.60605408,-0.864073788,0.654611776,-0.510990141,0.090491478,-0.343356076,0.628332453,-0.696217299,0.024228356,-0.386213586,0.162904928,-0.841102336,0.823824994,0.686414954,-0.335898033,0.196351902,-0.271269749,1.047239001,-0.151563791,-1.253171395,-0.922259836,0.226692349,-1.812146254,0.801889612,-0.226881137,-0.374028424,-0.316593011,-0.505471809
BHS1664,Early_SM,-0.589722347,0.587900432,-0.470540781,0.014741564,0.146327912,0.761348765,0.416936471,-0.579982781,0.814002012,0.54255194,0.804628226,0.048095381,0.545790095,-0.625702935,1.615563446,-1.094205522,-0.524331978,-0.19976913,0.428641623,-0.215326633,-0.421071086,-0.307738337,-0.371549053,-0.742282231,-0.627168492,0.912783223,0.312335099,-0.883699308,-0.101250648,0.407745885,-0.031919608,0.394354912,0.518280832,0.169918648,0.953029032,0.325837945,0.241285298,0.031514317,-0.056086331,0.330119345,-0.097499973,-0.409942305,-0.186155021,0.928193011,-1.435892595,1.062785086,-0.359537344,0.302591272,-0.707258697,0.421424698
BHS1666,Early_SM,-0.223496527,-0.177504081,-0.094462555,-0.075465736,0.251469059,0.237534002,0.949510542,-1.020326824,0.577787025,-0.808082461,0.265841517,0.59277559,0.353918621,-0.550520362,-0.365659335,0.219822345,-1.103730955,-1.062456089,1.074853511,-0.978760175,-0.061655147,0.218460946,-0.678130504,-0.761394922,0.192742517,0.844222809,-0.454073662,-0.653892052,-1.179911324,-0.219539101,0.726521099,-0.010613372,0.921268736,-0.114613633,0.057751628,0.735562877,-0.22530345,0.015719874,-0.290268523,0.945596695,-0.865399774,-0.691276623,0.203275561,0.479984769,-0.668418541,-0.836924713,-0.804518743,-0.11483283,-0.626705729,0.122775623
BHS1667,Early_SM,-1.143011635,-0.416743048,-1.296623146,-0.530823972,-1.40446219,1.095284718,1.047566373,-0.810223456,0.041286317,-0.643561116,1.024668693,-0.571174711,0.244779558,-1.472714716,-0.698814739,-0.209544673,0.41046862,-1.526422668,0.916816816,-0.994534686,-0.183484092,-0.060010583,-0.588528816,-0.433417791,-0.477129237,0.933715674,-0.306209486,-1.096045826,-0.019558755,-0.290439379,1.002488423,-0.098487552,0.154833753,-1.059625232,0.359352324,-0.195449798,-0.028456211,0.900706954,-0.34834884,0.147315612,-0.426557135,-0.647876545,1.006274224,0.358899861,-1.304606314,-0.203668272,-0.155131444,0.044536775,-1.871103739,-0.190057408
BHS1668,Early_SM,0.880986851,0.444997409,0.9705621,-0.021305876,-1.252652811,-0.263308513,1.151626069,-1.200512991,-0.23221442,-0.894805243,1.166335382,0.105598625,1.355111273,0.007645482,-0.660651074,-0.465091809,-0.065083565,-0.504865633,-0.439571236,-0.02998818,0.621966298,1.42196291,-0.37824844,-0.837204979,1.055131299,-1.335947878,-0.736635085,-0.407247401,-0.254410789,-1.104287965,-0.884392284,-0.164028137,-0.17041111,-1.34295081,0.116985761,-0.133472762,-1.003353339,-0.080329941,0.413222188,-0.616986905,-0.360324353,-0.566394212,-0.69947206,-0.145907532,-1.505230114,-0.395901302,0.274596394,-1.567794804,-1.587809081,-0.005365459
BHS1669,Early_SM,-0.645085653,-0.004719793,-0.664279907,-0.01517319,0.176891645,-0.703791084,0.947875499,-0.78534917,-1.691034022,-0.779861852,1.321654778,0.053372784,0.725149501,-0.35219703,1.479620889,-1.108653872,0.706353757,-0.357714051,1.112984136,-0.02998818,-1.454402601,0.256721646,-0.827276366,-0.968598495,-0.717629915,-0.201215582,-0.068285052,-0.703174988,-0.164163207,-0.02092555,0.168901425,-0.084833986,1.024003339,-0.369229871,0.721396756,0.162412359,-0.288086686,-0.234303133,1.731930312,0.678501523,0.165854052,-0.721303468,0.754749622,0.988344157,0.120785229,0.815302297,0.312505126,0.005300131,-0.68415171,-0.063499543
BHS1670,Early_SM,-1.213476089,0.264491601,-1.703728862,0.104675654,-0.852135141,-1.012642744,-0.17228871,-0.585284917,0.114888503,-0.143458667,0.680289519,0.110767215,-0.075327503,-0.170991116,-0.430787453,-0.786369152,-0.33431486,0.187823492,0.616331364,-1.396025255,-0.467303091,-0.044922588,-1.03009081,-0.678614481,-0.490813716,-0.325794246,1.144361445,-1.073049621,0.17708392,0.066090072,0.353834441,-0.223654565,-0.161352157,-0.577864787,0.641142019,0.702924924,0.07327186,-0.500354963,0.531462158,0.594445408,-1.015489976,-0.784233187,0.924133275,0.456346201,-0.80802184,1.286401913,-0.420011568,0.37500163,0.093024934,-0.134217696
